date,ruby-on-rails-3,xcode,mysql,objective-c,linux,xml,php,java,ruby-on-rails,asp.net,sql-server,python,json,html,iphone,android,css,regex,c#,javascript,ios,ajax,facebook,sql,wpf,asp.net-mvc,ruby,jquery,c,database,windows,vb.net,.net,eclipse,c++,django,arrays
20130127,38305,47721,140920,118785,44804,55950,334118,357266,101665,154896,59058,158800,143573,162931,282093,111629,51111,407801,317823,120354,53782,38180,113835,58074,49350,63692,267796,82594,48408,43639,40870,142983,38282,174061,44918,43292
20130128,38339,47772,141106,118901,44861,56011,334628,357710,101763,155015,59112,159035,143795,163005,282588,111776,51171,408189,318260,120554,53843,38239,113961,58135,49397,63739,268129,82722,48462,43685,40919,143074,38331,174283,44968,43342
20130129,38402,47859,141389,119110,44966,56083,335271,358420,101931,155227,59212,159370,144121,163167,283282,112042,51265,408835,318983,120910,53944,38321,114190,58223,49491,63861,268693,82863,48533,43779,40987,143237,38411,174546,45049,43421
20130130,38471,47948,141659,119298,45070,56179,335920,359089,102120,155429,59329,159699,144429,163305,283932,112285,51362,409505,319759,121232,54037,38425,114433,58316,49584,63986,269252,82987,48614,43854,41064,143425,38495,174850,45131,43503
20130131,38539,48066,141941,119504,45145,56269,336591,359827,102260,155660,59440,160045,144736,163481,284625,112536,51460,410204,320445,121582,54141,38513,114680,58415,49668,64109,269824,83135,48695,43933,41129,143587,38567,175141,45210,43593
2013021,38616,48146,142183,119698,45242,56345,337206,360441,102402,155856,59514,160334,145007,163602,285234,112745,51556,410828,321094,121871,54228,38570,114904,58492,49754,64210,270289,83258,48784,44005,41206,143719,38640,175417,45275,43664
2013022,38647,48168,142314,119753,45259,56377,337407,360630,102475,155887,59547,160539,145138,163615,285324,112863,51615,410993,321353,121961,54266,38539,115025,58508,49798,64243,270506,83341,48802,43996,41219,143740,38640,175545,45325,43706
2013023,38686,48207,142494,119858,45304,56430,337841,361038,102576,155958,59577,160738,145330,163690,285644,113006,51663,411301,321702,122096,54325,38576,115120,58531,49847,64325,270753,83467,48855,44034,41253,143804,38665,175730,45373,43768
2013025,38743,48304,142782,120043,45424,56533,338505,361686,102730,156134,59658,161065,145639,163823,286318,113240,51735,411939,322390,122402,54422,38666,115331,58606,49918,64444,271282,83625,48922,44087,41303,143933,38741,176036,45457,43867
2013026,38820,48383,143038,120216,45512,56627,339120,362381,102904,156336,59742,161384,145959,163975,286882,113477,51841,412604,323049,122724,54531,38741,115564,58674,49998,64542,271813,83743,49002,44140,41376,144075,38819,176326,45528,43955
2013027,38892,48469,143315,120386,45618,56713,339768,363097,103077,156539,59833,161740,146270,164111,287551,113722,51924,413224,323718,123065,54630,38814,115810,58750,50070,64656,272353,83885,49085,44203,41440,144227,38890,176630,45622,44053
2013028,38967,48571,143613,120564,45712,56795,340481,363766,103231,156781,59928,162062,146601,164280,288189,113990,52023,413898,324472,123385,54735,38895,116068,58848,50190,64764,272925,84041,49160,44280,41512,144357,38959,176916,45707,44155
2013029,38992,48598,143769,120621,45702,56832,340652,363987,103326,156843,59954,162293,146764,164289,288274,114137,52086,414174,324860,123469,54752,38853,116225,58870,50239,64827,273222,84129,49178,44279,41519,144401,38962,177091,45762,44211
20130210,39018,48630,143925,120707,45746,56869,341011,364335,103405,156900,59979,162452,146933,164344,288569,114270,52109,414400,325209,123590,54795,38874,116306,58892,50324,64880,273466,84219,49218,44313,41540,144381,38998,177244,45806,44251
20130211,39064,48682,144084,120812,45810,56913,341354,364720,103507,156986,60013,162655,147094,164437,288910,114376,52148,414692,325588,123751,54850,38917,116407,58935,50370,64923,273745,84332,49267,44349,41576,144445,39028,177471,45843,44307
20130212,39132,48767,144356,120998,45905,56992,341981,365427,103653,157179,60116,162957,147418,164604,289527,114621,52240,415303,326268,124082,54944,39003,116625,59016,50451,65022,274272,84455,49339,44418,41626,144593,39097,177755,45924,44387
20130213,39211,48878,144695,121262,46017,57113,342778,366309,103830,157458,60247,163390,147837,164801,290301,114939,52355,416118,327220,124512,55095,39094,116907,59107,50582,65158,274960,84634,49424,44489,41722,144790,39186,178121,46003,44501
20130214,39307,48971,144973,121492,46118,57212,343478,367102,104009,157688,60349,163811,148180,164951,290974,115200,52456,416840,328005,124881,55197,39183,117161,59206,50679,65286,275547,84816,49514,44569,41802,144964,39257,178435,46079,44602
20130215,39380,49054,145235,121664,46222,57310,344075,367763,104185,157895,60438,164150,148476,165076,291536,115433,52548,417462,328745,125159,55301,39262,117366,59285,50786,65410,276072,84944,49590,44647,41877,145120,39326,178752,46146,44694
20130216,39421,49110,145434,121798,46275,57345,344526,368184,104292,157986,60466,164338,148686,165158,291887,115601,52601,417766,329189,125341,55358,39298,117471,59332,50844,65478,276370,85048,49634,44691,41922,145186,39365,178952,46208,44763
20130217,39458,49149,145606,121896,46327,57385,344923,368604,104381,158056,60495,164535,148859,165211,292203,115735,52642,418057,329584,125483,55402,39348,117563,59368,50891,65541,276623,85142,49682,44738,41962,145241,39413,179159,46250,44833
20130219,39515,49225,145843,122074,46413,57469,345567,369299,104511,158268,60581,164802,149182,165323,292793,115976,52726,418719,330236,125768,55504,39412,117768,59446,50975,65616,277145,85275,49763,44789,42029,145386,39474,179421,46310,44940
20130220,39584,49322,146143,122275,46531,57575,346295,370075,104665,158512,60708,165128,149479,165465,293479,116199,52813,419434,330934,126105,55623,39514,118016,59551,51083,65726,277721,85450,49830,44860,42098,145542,39556,179730,46405,45059
20130221,39665,49418,146447,122526,46655,57683,347037,370976,104827,158735,60840,165494,149797,165641,294239,116461,52911,420219,331694,126469,55748,39615,118299,59638,51203,65831,278318,85612,49918,44939,42201,145714,39646,180074,46506,45174
20130222,39741,49566,146867,122831,46792,57806,348045,372019,105039,159083,60995,165993,150278,165867,295241,116844,53037,421210,332757,126928,55891,39750,118628,59772,51398,65997,279149,85795,50034,45025,42316,145943,39751,180497,46607,45313
20130223,39719,49496,146822,122764,46691,57750,347843,371843,105030,158973,60978,166037,39675,150214,165709,294520,116854,53077,421078,332595,126771,55861,118659,59722,51434,65988,279021,85822,49972,44927,42288,145881,39704,180544,46618,45346
20130224,39760,49543,146977,122864,46739,57786,348206,372288,105134,159062,61013,166242,39725,150371,165755,294892,116966,53116,421342,332960,126909,55917,118745,59765,51479,66063,279257,85925,50028,44966,42335,145930,39752,180772,46662,45418
20130226,39826,49631,147229,123087,46820,57866,348860,372958,105284,159080,61130,166582,39825,150704,165877,295521,117177,53174,421987,333651,127236,56004,118973,59831,52266,66158,279753,86049,50103,45040,42410,146066,39823,181077,46733,45522
20130227,39892,49727,147526,123305,46911,57999,349478,373752,105449,159244,61228,166912,39926,151019,166034,296196,117420,53264,422683,334370,127581,56137,119218,59901,52399,66266,280313,86215,50187,45116,42490,146250,39915,181358,46809,45610
20130228,39972,49799,147830,123546,46996,58094,350247,374623,105631,159486,61350,167279,40039,151390,166191,296936,117700,53345,423437,335171,127968,56243,119456,59994,52510,66389,280945,86423,50281,45189,42564,146424,39996,181709,46909,45717
2013031,40039,49906,148091,123777,47096,58185,350905,375371,105812,159686,61429,167636,40125,151730,166338,297604,117955,53432,424099,335856,128328,56344,119662,60059,52625,66492,281513,86562,50337,45251,42640,146588,40057,181994,46983,45819
2013034,40102,50015,148602,124062,47189,58275,351897,376369,106056,159806,61524,168241,40295,152234,166447,298321,118347,53587,424977,336880,128735,56496,119990,60145,52821,66665,282269,86830,50453,45312,42740,146783,40150,182563,47135,46028
2013035,40179,50101,148879,124291,47292,58375,352525,377115,106222,160023,61624,168564,40397,152538,166619,298965,118559,53688,425637,337590,129114,56598,120233,60226,52897,66770,282814,86968,50549,45372,42808,146949,40245,182868,47224,46132
2013036,40249,50182,149157,124503,47385,58471,353233,377914,106385,160234,61721,168873,40498,152867,166766,299620,118828,53787,426316,338340,129456,56688,120472,60290,52960,66875,283408,87109,50656,45440,42886,147103,40308,183181,47288,46232
2013037,40329,50278,149434,124741,47475,58595,353890,378725,106543,160490,61851,169196,40614,153211,166947,300335,119111,53880,427017,339130,129816,56804,120747,60384,53052,67003,284030,87269,50743,45539,42956,147280,40409,183475,47362,46345
2013039,40436,50421,149891,125056,47615,58737,355120,379940,106809,160865,62018,169776,40784,153796,167149,301432,119527,54066,428211,340354,130354,56976,121148,60517,53190,67192,285027,87513,50894,45675,43085,147556,40535,183982,47493,46544
20130311,40508,50476,150238,125215,47689,58807,355828,380760,106985,160963,62099,170184,40874,154173,167191,301988,119816,54173,428778,341050,130613,57054,121400,60567,53321,67346,285497,87725,50956,45718,43138,147654,40619,184401,47593,46693
